名称	单位	基值	格式	精度	序号	位	页
BatteryMaxTemp-400	℃	1	1	1	17	0	3
BatteryTempDiff-400	℃	1	1	1	18	0	3
RestSoc	AH	2	1	1	0	0	4
FaultNum	-	1	1	1	1	0	4
ToDiplay_GearPosition	-	1	1	1	2	0	4
ToDiplay_KEYSwitch	-	1	1	1	3	0	4
ToDiplay_ChargeConnect	-	1	1	1	4	0	4
ToDiplay_ChargeState	-	1	1	1	5	0	4
ToDiplay_VechileMode	-	1	1	1	6	0	4
ToDiplay_AccPedalPos	%	1	10	0.1	7	0	4
ToDiplay_BrakePedalPos	%	1	10	0.1	8	0	4
ToDiplay_HCUScrstatus2	-	1	1	1	9	0	4
ToDiplay_LowBatVoltage	V	1	5	0.1	10	0	4
ToDiplay_MotorDirection	-	1	1	1	11	0	4
ToDiplay_MotorSpeed	rpm	1	10	0.1	12	0	4
ToDiplay_VehicleSpeed	KM/h	1	1	1	13	0	4
ToDiplay_DriveStatus1	-	1	1	1	14	0	4
ToDiplay_MCUTemp	℃	1	1	1	15	0	4
ToDiplay_MotorTemp	℃	1	1	1	16	0	4
ToDiplay_DriveWork	-	1	1	1	17	0	4
ToDiplay_LIFE	-	1	1	1	18	0	4
ToDiplay_BatteryVoltage	V	1	10	0.1	0	0	5
ToDiplay_BatteryCurrent	A	1	10	0.1	1	0	5
ToDiplay_BatterySOC	%	4	10	0.1	2	0	5
ToDiplay_BatteryStatus1	-	1	1	1	3	0	5
ToDiplay_BatteryStatus2	-	1	1	1	4	0	5
ToDiplay_BatteryMinVol	V	1	100	0.01	5	0	5
ToDiplay_BatteryMaxVol	V	1	100	0.01	6	0	5
ToDiplay_BatteryMaxTemp	℃	1	1	1	7	0	5
ToDiplay_BatteryTempDiff	℃	1	1	1	8	0	5
ToDiplay_RestSoc	AH	2	1	1	9	0	5
ToDiplay_BatteryLife	-	1	1	1	10	0	5
ToMCU_AccPedal	%	1	10	0.1	11	0	5
ToMCU_BrakePedal	%	1	10	0.1	12	0	5
ToMCU_BatteryVoltage	V	1	10	0.1	13	0	5
ToMCU_KEYSwitch	-	1	1	1	14	0	5
ToMCU_GearPosition	-	1	1	1	15	0	5
ToMCU_MCUStart	-	1	1	1	16	0	5
ToMCU_MCUDischarge	-	1	1	1	17	0	5
ToMCU_reserved	-	1	1	1	18	0	5
ToMCU_MotorRefSpeed	RMP	1	10	0.1	0	0	6
ToMCU_MotorRefTorque	NM	1	10	0.01	1	0	6
ToMCU_DriveWork	-	1	1	1	2	0	6
ToMCU_MCUWorkeState	-	1	1	1	3	0	6
ToMCU_MotorWorkeMode	-	1	1	1	4	0	6
ToMCU_MotorDirection	-	1	1	1	5	0	6
ToMCU_MotorLoad	-	1	1	1	6	0	6
ToMCU_LIFE	-	1	1	1	7	0	6
ToBMS_LIFE	-	1	1	1	8	0	6
ToMCU_VehicleSpeed	KM/h	1	1	1	9	0	6
