名称	最大值	最小值	基值	格式	精度	序号
Reset_Voltage_Level_v	30000	0	1	100	0.01	16489
Full_Voltage_Level_v	30000	0	1	100	0.01	16490
Empty_Voltage_Level_v	30000	0	1	100	0.01	16491
Discharge_Time_ min	2000	0	1	1	1	16492
BDI_Reset_Percent_%	100	0	1	1	1	16493
BDI_Percent	100	0	1	1	1	16494
Runing_life1	32767	0	1	1	1	16495
Runing_life2	32767	0	1	1	1	16496
Driving_Mileages1	32767	0	1	1	1	16497
Driving_Mileages2	32767	0	1	1	1	16498
Fault_Record0	32767	0	1	1	1	16499
Fault_Record1	32767	0	1	1	1	16500
Fault_Record2	32767	0	1	1	1	16501
Fault_Record3	32767	0	1	1	1	16502
Fault_Record4	32767	0	1	1	1	16503
Fault_Record5	32767	0	1	1	1	16504
Fault_Record6	32767	0	1	1	1	16505
Fault_Record7	32767	0	1	1	1	16506
Fault_Record8	32767	0	1	1	1	16507
Fault_Record9	32767	0	1	1	1	16508
Fault_Record10	32767	0	1	1	1	16509
Fault_Record11	32767	0	1	1	1	16510
Low_12V_V	32767	0	55	32767	0.01	16511
High_12V_V	32767	0	55	32767	0.01	16512
BMS_Temp_Max_℃	2500	0	1	10	0.1	16513
BMS_Current_Max_A	5000	0	1	10	0.1	16514
Charge_Current_Max	5000	0	1	10	0.1	16515
Throttle_Min_Vol_V	32767	0	5	32767	0.01	16516
Throttle_Max_Vol_V	32767	0	5	32767	0.01	16517
Brake_Min_Vol_V	32767	0	5	32767	0.01	16518
Brake_Max_Vol_V	32767	0	5	32767	0.01	16519
